,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Edea,20,CM,1572984945,100,3.8,10.13,25.0,1.0
1,Pacific Grove,1,US,1572984480,59,36.62,-121.92,26.67,2.6
2,Sao Joao da Barra,100,BR,1572984714,49,-21.64,-41.05,33.0,6.2
3,Longyearbyen,75,NO,1572984676,72,78.22,15.63,-12.0,1.5
4,Rovereto,100,IT,1572984946,100,45.89,11.05,14.44,1.0
5,Northam,0,AU,1572984947,87,-31.65,116.67,10.0,3.1
6,Berdigestyakh,100,RU,1572984947,91,62.1,126.7,-19.06,3.59
7,Anshun,100,CN,1572984715,80,26.25,105.93,12.12,2.32
8,Kapaa,20,US,1572984575,83,22.08,-159.32,27.0,3.1
9,Namibe,34,AO,1572984580,80,-15.19,12.15,23.0,1.62
10,Busselton,28,AU,1572984576,68,-33.64,115.35,8.33,2.82
11,Sokoni,8,CD,1572984948,83,-12.89,28.78,17.41,2.9
12,Arraial do Cabo,91,BR,1572984652,70,-22.97,-42.02,36.0,5.1
13,San Cristobal,61,HN,1572984908,71,14.68,-86.92,24.94,1.93
14,East London,100,ZA,1572984613,91,-33.02,27.91,20.83,3.64
15,Hithadhoo,68,MV,1572984585,73,-0.6,73.08,27.57,3.1
16,Atuona,21,PF,1572984675,73,-9.8,-139.03,26.94,9.65
17,Punta Arenas,75,CL,1572984641,80,-53.16,-70.91,7.0,9.3
18,Lagoa,0,PT,1572984669,72,37.14,-8.45,17.0,5.7
19,Kosh-Agach,97,RU,1572984949,85,49.99,88.66,-5.19,0.4
20,Hermanus,69,ZA,1572984685,89,-34.42,19.24,17.78,0.45
21,Ambanja,100,MG,1572984950,82,-13.68,48.45,25.83,1.15
22,Port Alfred,100,ZA,1572984678,92,-33.59,26.89,19.44,0.89
23,Iqaluit,90,CA,1572984706,85,63.75,-68.52,-8.0,3.1
24,Tigre,0,AR,1572984950,38,-34.42,-58.58,27.78,4.1
25,Mataura,93,NZ,1572984643,78,-46.19,168.86,12.22,1.79
26,Tiksi,96,RU,1572984695,98,71.64,128.87,-22.35,1.02
27,Thompson,90,CA,1572984686,78,55.74,-97.86,-13.0,4.1
28,Riyadh,0,SA,1572984478,50,24.63,46.72,25.0,3.6
29,Puerto Ayora,20,EC,1572984685,57,-0.74,-90.35,27.0,8.7
30,Fort Nelson,20,CA,1572984642,85,58.81,-122.69,-10.0,1.5
31,Tuatapere,1,NZ,1572984654,78,-46.13,167.69,12.22,1.79
32,Havre-Saint-Pierre,75,CA,1572984952,81,50.23,-63.6,7.0,6.2
33,Ushuaia,75,AR,1572984529,80,-54.81,-68.31,6.0,8.7
34,Vaini,63,IN,1572984672,93,15.34,74.49,20.78,0.33
35,Poronaysk,100,RU,1572984952,73,49.22,143.1,1.84,2.92
36,Port Lincoln,1,AU,1572984758,86,-34.72,135.86,13.33,5.78
37,Sitka,0,US,1572984952,41,37.17,-99.65,13.33,5.81
38,Sibolga,100,ID,1572984952,94,1.74,98.78,20.43,0.75
39,Nichinan,20,JP,1572984952,87,31.65,131.31,12.78,4.03
40,Sola,48,TZ,1572984723,67,-3.17,33.8,22.45,3.33
41,Noumea,0,NC,1572984662,68,-22.28,166.46,24.44,1.5
42,Ha Giang,57,VN,1572984953,96,22.83,104.99,13.51,0.4
43,Yellowknife,90,CA,1572984579,78,62.45,-114.38,-11.0,3.6
44,Waipawa,100,NZ,1572984953,58,-39.94,176.59,17.22,4.02
45,Kavieng,100,PG,1572984670,81,-2.57,150.8,27.58,8.64
46,Tete,0,MZ,1572984953,33,-16.16,33.59,30.0,4.6
47,Jalu,0,LY,1572984953,38,29.03,21.55,21.71,2.44
48,Hobyo,94,SO,1572984954,82,5.35,48.53,26.26,4.22
49,Bluff,38,AU,1572984582,26,-23.58,149.07,19.17,4.2
50,Krompachy,90,SK,1572984954,93,48.91,20.88,11.11,2.6
51,Albany,90,US,1572984498,58,42.65,-73.75,13.89,4.1
52,Bilibino,100,RU,1572984954,91,68.06,166.44,-15.13,1.4
53,Dingle,95,PH,1572984954,89,11.0,122.67,23.88,2.51
54,Dicabisagan,95,PH,1572984955,89,17.08,122.42,25.12,3.92
55,Oksfjord,40,NO,1572984955,98,70.24,22.35,0.0,2.6
56,Saint Peters,1,US,1572984955,51,35.62,-89.39,18.89,5.1
57,Hailar,96,CN,1572984955,78,49.2,119.7,-6.88,1.36
58,Saint George,20,GR,1572984590,82,39.45,22.34,15.0,2.1
59,Provideniya,90,RU,1572984660,73,64.42,-173.23,-3.0,3.0
60,Carauari,100,BR,1572984955,56,-4.88,-66.9,32.57,0.41
61,Cherskiy,30,RU,1572984713,78,68.75,161.3,-11.9,2.1
62,Tommot,100,RU,1572984956,95,58.97,126.27,-17.65,3.26
63,Tabuk,100,PH,1572984714,96,17.41,121.44,23.0,1.98
64,Hamilton,75,CA,1572984428,45,43.26,-79.87,9.44,8.2
